ticket_id,created_at,week,queue,category,channel,resolution_minutes,first_contact_resolution,csat,escalated
TKT-0087,2026-02-10,2026-W07,Playback,Video quality,Email,24,1,,0
TKT-0088,2026-01-10,2026-W02,Devices,Device limit,Chat,32,1,4.0,1
TKT-0089,2026-01-07,2026-W02,Devices,Device limit,Email,28,1,3.8,0
TKT-0090,2026-02-09,2026-W07,Account,Subscription change,Chat,15,1,4.4,0
TKT-0091,2026-01-18,2026-W03,Devices,Compatibility,Chat,30,1,4.2,0
TKT-0092,2026-01-16,2026-W03,Playback,Video quality,Chat,22,0,4.9,0
TKT-0093,2026-03-05,2026-W10,Playback,Buffering,Chat,24,1,4.7,0
TKT-0094,2026-01-21,2026-W04,Devices,Compatibility,Phone,41,1,4.0,1
TKT-0095,2026-02-13,2026-W07,Playback,Audio and subtitles,Chat,13,1,,0
TKT-0096,2026-01-20,2026-W04,Billing,Payment failed,Chat,30,0,4.6,0
TKT-0097,2026-02-05,2026-W06,Playback,Buffering,Chat,35,0,3.6,0
TKT-0098,2026-02-27,2026-W09,Playback,Audio and subtitles,Chat,29,1,4.0,0
TKT-0099,2026-01-24,2026-W04,Playback,Video quality,Chat,18,1,4.4,0
TKT-0100,2026-02-04,2026-W06,Playback,Buffering,Phone,13,1,4.5,0
TKT-0101,2026-03-29,2026-W13,Devices,Compatibility,Phone,31,1,4.5,0
TKT-0102,2026-01-17,2026-W03,Playback,Video quality,Chat,27,1,4.3,0
TKT-0103,2026-02-07,2026-W06,Playback,Audio and subtitles,Chat,20,1,3.9,0
TKT-0104,2026-03-26,2026-W13,Billing,Refund request,Phone,33,1,3.2,1
TKT-0105,2026-01-16,2026-W03,Playback,Buffering,Email,43,1,,1
TKT-0106,2026-02-15,2026-W07,Billing,Refund request,Chat,37,1,4.1,0
TKT-0107,2026-01-27,2026-W05,Account,Profile settings,Email,18,1,4.4,0
TKT-0108,2026-02-06,2026-W06,Billing,Refund request,Phone,48,1,3.4,1
TKT-0109,2026-03-27,2026-W13,Devices,Device limit,Chat,35,0,3.9,0
TKT-0110,2026-03-19,2026-W12,Playback,Video quality,Phone,30,1,4.4,0
TKT-0111,2026-01-11,2026-W02,Devices,Device limit,Chat,36,0,3.7,0
TKT-0112,2026-03-27,2026-W13,Account,Profile settings,Email,18,1,4.2,0
TKT-0113,2026-03-28,2026-W13,Account,Profile settings,Chat,5,1,4.6,0
TKT-0114,2026-01-30,2026-W05,Account,Subscription change,Phone,27,1,5.0,0
TKT-0115,2026-03-07,2026-W10,Devices,Compatibility,Email,61,1,4.5,1
TKT-0116,2026-02-24,2026-W09,Devices,Device limit,Chat,50,0,3.1,1
TKT-0117,2026-02-07,2026-W06,Playback,Audio and subtitles,Phone,33,1,,0
TKT-0118,2026-03-17,2026-W12,Playback,Audio and subtitles,Chat,29,1,4.3,0
TKT-0119,2026-01-22,2026-W04,Account,Sign-in,Chat,19,1,4.5,0
TKT-0120,2026-03-15,2026-W11,Playback,Audio and subtitles,Email,38,0,3.8,0
TKT-0121,2026-02-09,2026-W07,Account,Profile settings,Chat,4,1,5.0,0
TKT-0122,2026-03-28,2026-W13,Playback,Video quality,Chat,26,0,4.1,0
TKT-0123,2026-03-27,2026-W13,Billing,Payment failed,Chat,33,1,4.0,0
TKT-0124,2026-03-16,2026-W12,Account,Sign-in,Email,25,1,4.3,0
TKT-0125,2026-01-23,2026-W04,Devices,Device limit,Chat,28,1,4.2,0
TKT-0126,2026-02-04,2026-W06,Playback,Buffering,Chat,12,1,4.3,0
TKT-0127,2026-02-20,2026-W08,Playback,Buffering,Chat,22,1,3.6,0
TKT-0128,2026-02-12,2026-W07,Playback,Buffering,Chat,21,1,4.0,0
TKT-0129,2026-01-14,2026-W03,Devices,Compatibility,Email,30,1,3.9,0
TKT-0130,2026-03-22,2026-W12,Playback,Video quality,Chat,32,1,4.8,0
TKT-0131,2026-03-16,2026-W12,Billing,Payment failed,Chat,35,0,3.7,0
TKT-0132,2026-02-14,2026-W07,Playback,Audio and subtitles,Chat,21,0,,0
TKT-0133,2026-03-01,2026-W09,Account,Subscription change,Chat,17,1,4.2,0
TKT-0134,2026-02-26,2026-W09,Playback,Audio and subtitles,Phone,25,1,,0
TKT-0135,2026-02-10,2026-W07,Billing,Refund request,Chat,21,1,3.8,1
TKT-0136,2026-03-17,2026-W12,Playback,Video quality,Email,47,0,4.1,0
TKT-0137,2026-03-28,2026-W13,Playback,Audio and subtitles,Phone,34,0,4.8,0
TKT-0138,2026-02-17,2026-W08,Playback,Buffering,Phone,36,1,,0
TKT-0139,2026-03-13,2026-W11,Account,Profile settings,Chat,25,1,5.0,0
TKT-0140,2026-01-11,2026-W02,Account,Subscription change,Chat,13,1,4.3,0
TKT-0141,2026-02-01,2026-W05,Billing,Payment failed,Chat,27,1,3.8,0
TKT-0142,2026-02-02,2026-W06,Playback,Audio and subtitles,Chat,23,1,4.4,0
TKT-0143,2026-01-20,2026-W04,Account,Subscription change,Chat,10,1,4.1,0
TKT-0144,2026-02-19,2026-W08,Account,Subscription change,Chat,12,1,4.2,0
TKT-0145,2026-03-27,2026-W13,Playback,Buffering,Chat,20,0,3.7,0
TKT-0146,2026-02-20,2026-W08,Account,Sign-in,Chat,19,1,4.6,0
TKT-0147,2026-02-16,2026-W08,Billing,Payment failed,Chat,38,1,3.8,0
TKT-0148,2026-03-28,2026-W13,Devices,Device activation,Chat,36,1,4.4,0
TKT-0149,2026-03-26,2026-W13,Playback,Audio and subtitles,Email,30,1,4.1,0
TKT-0150,2026-03-26,2026-W13,Playback,Video quality,Chat,16,1,4.9,0
TKT-0151,2026-02-13,2026-W07,Playback,Buffering,Chat,33,0,4.1,1
TKT-0152,2026-03-10,2026-W11,Playback,Audio and subtitles,Chat,16,0,4.4,0
TKT-0153,2026-02-15,2026-W07,Billing,Invoice question,Chat,26,1,3.4,1
TKT-0154,2026-03-10,2026-W11,Billing,Payment failed,Chat,42,1,4.4,0
TKT-0155,2026-02-10,2026-W07,Playback,Video quality,Email,39,1,4.1,0
TKT-0156,2026-02-23,2026-W09,Playback,Audio and subtitles,Phone,38,0,4.7,0
TKT-0157,2026-02-18,2026-W08,Playback,Audio and subtitles,Email,38,1,4.3,0
TKT-0158,2026-02-16,2026-W08,Devices,Device limit,Email,43,0,4.6,0
TKT-0159,2026-03-11,2026-W11,Playback,Video quality,Chat,30,0,4.9,0
TKT-0160,2026-01-24,2026-W04,Account,Sign-in,Chat,49,1,4.2,0
TKT-0161,2026-03-25,2026-W13,Account,Profile settings,Chat,4,1,5.0,0
TKT-0162,2026-01-10,2026-W02,Playback,Audio and subtitles,Email,26,0,4.2,0
TKT-0163,2026-02-04,2026-W06,Playback,Video quality,Phone,24,1,3.8,0
TKT-0164,2026-02-22,2026-W08,Playback,Video quality,Phone,34,0,4.2,0
TKT-0165,2026-02-21,2026-W08,Playback,Buffering,Email,44,1,,0
TKT-0166,2026-01-25,2026-W04,Playback,Audio and subtitles,Chat,26,1,4.7,0
TKT-0167,2026-01-08,2026-W02,Playback,Video quality,Chat,23,1,4.4,0
TKT-0168,2026-03-29,2026-W13,Playback,Buffering,Chat,23,1,4.3,0
TKT-0169,2026-03-03,2026-W10,Billing,Payment failed,Chat,50,1,3.6,1
TKT-0170,2026-02-10,2026-W07,Account,Sign-in,Chat,13,1,4.7,0
TKT-0171,2026-03-22,2026-W12,Playback,Audio and subtitles,Chat,15,1,4.7,0
TKT-0172,2026-02-27,2026-W09,Account,Subscription change,Chat,8,0,4.4,0
TKT-0173,2026-03-16,2026-W12,Account,Profile settings,Chat,16,1,,0
TKT-0174,2026-02-04,2026-W06,Billing,Invoice question,Chat,25,1,3.9,0
TKT-0175,2026-03-28,2026-W13,Account,Subscription change,Chat,22,1,5.0,0
TKT-0176,2026-03-04,2026-W10,Account,Sign-in,Chat,26,1,3.2,1
TKT-0177,2026-03-15,2026-W11,Playback,Buffering,Email,31,1,4.7,0
TKT-0178,2026-01-20,2026-W04,Billing,Refund request,Phone,34,0,4.3,0
TKT-0179,2026-03-09,2026-W11,Playback,Audio and subtitles,Chat,23,1,4.7,0
TKT-0180,2026-02-11,2026-W07,Playback,Buffering,Chat,24,1,4.6,0
TKT-0181,2026-03-03,2026-W10,Account,Profile settings,Email,29,1,5.0,0
TKT-0182,2026-02-25,2026-W09,Playback,Audio and subtitles,Email,37,0,4.2,0
TKT-0183,2026-01-13,2026-W03,Account,Subscription change,Chat,14,1,4.2,0
TKT-0184,2026-02-21,2026-W08,Playback,Buffering,Email,17,1,4.4,0
TKT-0185,2026-01-28,2026-W05,Playback,Video quality,Phone,33,1,4.5,0
TKT-0186,2026-03-08,2026-W10,Account,Sign-in,Phone,30,1,5.0,0
TKT-0187,2026-02-14,2026-W07,Billing,Invoice question,Chat,38,1,3.9,0
TKT-0188,2026-03-27,2026-W13,Account,Profile settings,Chat,4,1,4.8,0
TKT-0189,2026-03-16,2026-W12,Playback,Video quality,Email,31,1,,0
TKT-0190,2026-02-13,2026-W07,Playback,Audio and subtitles,Email,34,1,4.2,0
TKT-0191,2026-03-28,2026-W13,Account,Profile settings,Email,24,1,4.2,0
TKT-0192,2026-01-21,2026-W04,Playback,Buffering,Email,42,1,5.0,0
TKT-0193,2026-03-12,2026-W11,Devices,Device activation,Chat,31,1,4.6,0
TKT-0194,2026-03-10,2026-W11,Billing,Invoice question,Phone,37,1,3.7,0
TKT-0195,2026-03-18,2026-W12,Account,Sign-in,Chat,16,0,4.8,0
TKT-0196,2026-03-25,2026-W13,Billing,Refund request,Phone,37,1,4.5,0
TKT-0197,2026-02-25,2026-W09,Playback,Buffering,Email,26,1,4.5,0
TKT-0198,2026-02-14,2026-W07,Billing,Refund request,Phone,33,1,4.0,0
TKT-0199,2026-02-08,2026-W06,Playback,Buffering,Chat,20,1,4.2,0
TKT-0200,2026-01-25,2026-W04,Devices,Device limit,Email,45,1,4.2,0
TKT-0201,2026-03-09,2026-W11,Account,Profile settings,Chat,15,0,4.6,0
TKT-0202,2026-03-29,2026-W13,Billing,Refund request,Chat,41,0,3.6,0
TKT-0203,2026-02-20,2026-W08,Account,Sign-in,Email,30,1,4.9,0
TKT-0204,2026-02-09,2026-W07,Devices,Device limit,Email,26,1,4.7,0
TKT-0205,2026-02-20,2026-W08,Billing,Payment failed,Email,66,1,3.9,1
TKT-0206,2026-03-12,2026-W11,Playback,Audio and subtitles,Phone,26,1,4.8,0
TKT-0207,2026-02-12,2026-W07,Billing,Invoice question,Email,39,1,4.8,0
TKT-0208,2026-01-19,2026-W04,Devices,Device limit,Chat,20,0,3.7,0
TKT-0209,2026-03-29,2026-W13,Billing,Invoice question,Email,49,0,4.5,0
TKT-0210,2026-02-22,2026-W08,Account,Subscription change,Chat,19,1,5.0,0
TKT-0211,2026-02-26,2026-W09,Billing,Refund request,Chat,39,1,3.7,0
TKT-0212,2026-03-12,2026-W11,Account,Profile settings,Phone,28,1,4.6,0
TKT-0213,2026-03-15,2026-W11,Playback,Audio and subtitles,Email,14,0,4.3,0
TKT-0214,2026-02-12,2026-W07,Account,Profile settings,Email,14,1,4.7,0
TKT-0215,2026-02-09,2026-W07,Playback,Audio and subtitles,Email,41,1,3.5,0
TKT-0216,2026-02-11,2026-W07,Account,Subscription change,Chat,16,0,4.2,0
TKT-0217,2026-02-08,2026-W06,Devices,Device limit,Chat,27,1,4.4,0
TKT-0218,2026-02-02,2026-W06,Billing,Payment failed,Chat,30,1,4.0,0
TKT-0219,2026-01-25,2026-W04,Playback,Video quality,Chat,19,1,4.8,0
TKT-0220,2026-01-16,2026-W03,Billing,Payment failed,Chat,36,0,3.8,0
TKT-0221,2026-01-27,2026-W05,Devices,Device activation,Phone,50,1,3.9,0
TKT-0222,2026-01-09,2026-W02,Account,Subscription change,Email,12,0,4.6,0
TKT-0223,2026-01-22,2026-W04,Devices,Compatibility,Chat,25,0,3.5,0
TKT-0224,2026-01-06,2026-W02,Billing,Refund request,Email,64,0,2.8,1
TKT-0225,2026-03-11,2026-W11,Playback,Video quality,Email,31,1,4.7,0
TKT-0226,2026-02-04,2026-W06,Playback,Video quality,Phone,40,1,4.4,0
TKT-0227,2026-01-12,2026-W03,Billing,Refund request,Chat,41,1,3.7,0
TKT-0228,2026-01-20,2026-W04,Billing,Refund request,Chat,24,1,4.2,0
TKT-0229,2026-02-21,2026-W08,Playback,Audio and subtitles,Phone,35,1,3.8,0
TKT-0230,2026-03-22,2026-W12,Devices,Device activation,Chat,30,1,4.3,0
TKT-0231,2026-03-10,2026-W11,Account,Subscription change,Chat,20,1,4.9,0
TKT-0232,2026-01-16,2026-W03,Devices,Compatibility,Email,34,1,4.3,0
TKT-0233,2026-02-13,2026-W07,Billing,Refund request,Chat,39,1,4.3,0
TKT-0234,2026-03-15,2026-W11,Devices,Device activation,Phone,34,1,4.5,0
TKT-0235,2026-03-28,2026-W13,Devices,Compatibility,Phone,39,1,4.2,0
TKT-0236,2026-03-15,2026-W11,Account,Profile settings,Chat,31,0,5.0,0
TKT-0237,2026-01-07,2026-W02,Devices,Compatibility,Email,39,1,3.9,0
TKT-0238,2026-02-09,2026-W07,Account,Subscription change,Email,9,1,4.1,0
TKT-0239,2026-02-04,2026-W06,Account,Sign-in,Email,26,1,,0
TKT-0240,2026-03-02,2026-W10,Account,Sign-in,Email,18,1,4.8,0
TKT-0241,2026-03-19,2026-W12,Playback,Audio and subtitles,Email,50,0,4.7,0
TKT-0242,2026-02-26,2026-W09,Playback,Buffering,Chat,23,1,4.2,0
TKT-0243,2026-01-11,2026-W02,Devices,Device limit,Email,28,0,4.2,0
TKT-0244,2026-03-14,2026-W11,Playback,Buffering,Chat,30,1,3.5,0
TKT-0245,2026-03-17,2026-W12,Playback,Video quality,Chat,17,1,4.5,0
TKT-0246,2026-01-29,2026-W05,Account,Profile settings,Email,20,1,4.7,0
TKT-0247,2026-03-17,2026-W12,Account,Sign-in,Phone,8,1,,0
TKT-0248,2026-01-29,2026-W05,Devices,Device activation,Email,33,0,3.5,0
TKT-0249,2026-02-04,2026-W06,Playback,Video quality,Chat,23,1,4.8,0
TKT-0250,2026-01-17,2026-W03,Billing,Invoice question,Chat,26,0,4.2,0
TKT-0251,2026-02-02,2026-W06,Billing,Payment failed,Chat,28,0,4.0,0
TKT-0252,2026-02-22,2026-W08,Playback,Buffering,Chat,23,1,5.0,0
TKT-0253,2026-03-28,2026-W13,Billing,Refund request,Chat,36,0,3.2,1
TKT-0254,2026-03-15,2026-W11,Devices,Device activation,Chat,33,0,,1
TKT-0255,2026-01-22,2026-W04,Devices,Device activation,Chat,25,1,4.7,0
TKT-0256,2026-03-24,2026-W13,Devices,Device limit,Chat,31,1,,0
TKT-0257,2026-03-13,2026-W11,Billing,Invoice question,Phone,33,1,3.6,0
TKT-0258,2026-01-18,2026-W03,Devices,Device limit,Chat,29,1,3.9,0
TKT-0259,2026-02-21,2026-W08,Devices,Compatibility,Email,31,0,3.4,0
TKT-0260,2026-03-29,2026-W13,Billing,Payment failed,Chat,24,1,,0
TKT-0261,2026-03-01,2026-W09,Billing,Refund request,Email,42,0,3.8,1
TKT-0262,2026-03-18,2026-W12,Playback,Buffering,Phone,31,1,4.3,0
TKT-0263,2026-02-14,2026-W07,Account,Sign-in,Email,18,1,4.9,0
TKT-0264,2026-02-04,2026-W06,Playback,Video quality,Email,35,1,4.5,0
TKT-0265,2026-01-15,2026-W03,Playback,Video quality,Chat,13,1,4.4,0
TKT-0266,2026-02-24,2026-W09,Devices,Compatibility,Chat,8,1,3.7,0
TKT-0267,2026-03-01,2026-W09,Account,Subscription change,Email,36,1,4.7,0
TKT-0268,2026-01-24,2026-W04,Playback,Audio and subtitles,Chat,21,1,,0
TKT-0269,2026-02-13,2026-W07,Playback,Video quality,Chat,16,1,,0
TKT-0270,2026-01-16,2026-W03,Playback,Buffering,Email,30,0,,0
TKT-0271,2026-02-26,2026-W09,Playback,Buffering,Email,33,1,4.9,0
TKT-0272,2026-01-26,2026-W05,Account,Profile settings,Chat,15,1,5.0,0
TKT-0273,2026-02-20,2026-W08,Playback,Buffering,Email,29,1,,0
TKT-0274,2026-02-24,2026-W09,Playback,Audio and subtitles,Chat,25,0,4.5,0
TKT-0275,2026-03-22,2026-W12,Account,Profile settings,Email,13,1,4.5,0
TKT-0276,2026-03-27,2026-W13,Playback,Audio and subtitles,Email,37,1,3.9,0
TKT-0277,2026-01-30,2026-W05,Billing,Invoice question,Chat,54,0,3.7,1
TKT-0278,2026-02-11,2026-W07,Devices,Device activation,Email,35,0,3.9,0
TKT-0279,2026-01-24,2026-W04,Billing,Refund request,Chat,28,0,3.1,0
TKT-0280,2026-02-27,2026-W09,Playback,Video quality,Email,32,0,4.4,0
TKT-0281,2026-02-19,2026-W08,Account,Subscription change,Chat,20,0,4.5,0
TKT-0282,2026-03-01,2026-W09,Account,Sign-in,Chat,4,1,4.3,0
TKT-0283,2026-02-24,2026-W09,Playback,Audio and subtitles,Email,29,1,,0
TKT-0284,2026-01-18,2026-W03,Playback,Buffering,Chat,21,0,4.5,0
TKT-0285,2026-03-07,2026-W10,Playback,Buffering,Chat,20,1,,0
TKT-0286,2026-02-17,2026-W08,Billing,Invoice question,Email,57,0,3.6,0
TKT-0287,2026-02-28,2026-W09,Devices,Device activation,Email,34,1,3.8,0
TKT-0288,2026-01-30,2026-W05,Playback,Video quality,Chat,32,1,4.4,0
TKT-0289,2026-01-18,2026-W03,Billing,Invoice question,Chat,29,1,4.4,0
TKT-0290,2026-03-27,2026-W13,Playback,Video quality,Email,26,1,3.9,0
TKT-0291,2026-02-12,2026-W07,Devices,Device limit,Chat,21,1,4.1,1
TKT-0292,2026-03-11,2026-W11,Playback,Audio and subtitles,Chat,35,1,4.2,0
TKT-0293,2026-01-27,2026-W05,Playback,Video quality,Chat,14,1,5.0,0
TKT-0294,2026-03-08,2026-W10,Account,Profile settings,Phone,6,1,4.1,0
TKT-0295,2026-03-08,2026-W10,Account,Subscription change,Chat,24,1,4.5,0
TKT-0296,2026-03-04,2026-W10,Playback,Video quality,Chat,23,1,4.6,0
TKT-0297,2026-01-10,2026-W02,Billing,Refund request,Chat,30,0,3.5,1
TKT-0298,2026-01-09,2026-W02,Playback,Video quality,Phone,23,1,,0
TKT-0299,2026-02-04,2026-W06,Account,Subscription change,Email,19,1,4.5,0
TKT-0300,2026-01-31,2026-W05,Devices,Device activation,Email,47,1,5.0,0
TKT-0301,2026-03-19,2026-W12,Playback,Audio and subtitles,Phone,51,1,3.9,1
TKT-0302,2026-02-09,2026-W07,Devices,Device activation,Email,41,1,4.1,1
TKT-0303,2026-02-24,2026-W09,Playback,Audio and subtitles,Email,45,1,4.7,0
TKT-0304,2026-02-25,2026-W09,Playback,Video quality,Email,23,0,4.2,0
TKT-0305,2026-01-16,2026-W03,Billing,Refund request,Email,46,0,3.5,0
TKT-0306,2026-02-01,2026-W05,Playback,Video quality,Email,25,1,4.2,0
TKT-0307,2026-01-11,2026-W02,Account,Subscription change,Email,27,1,,0
TKT-0308,2026-02-28,2026-W09,Account,Subscription change,Phone,14,0,4.6,0
TKT-0309,2026-02-20,2026-W08,Playback,Video quality,Email,37,1,3.9,1
TKT-0310,2026-02-28,2026-W09,Billing,Invoice question,Chat,23,1,3.4,1
TKT-0311,2026-01-06,2026-W02,Billing,Payment failed,Phone,45,1,,1
TKT-0312,2026-02-23,2026-W09,Account,Sign-in,Chat,6,1,5.0,0
TKT-0313,2026-03-28,2026-W13,Devices,Device activation,Chat,30,1,4.7,0
TKT-0314,2026-01-24,2026-W04,Devices,Device limit,Email,56,0,4.0,1
TKT-0315,2026-02-23,2026-W09,Playback,Video quality,Chat,32,1,4.6,0
TKT-0316,2026-03-23,2026-W13,Playback,Audio and subtitles,Chat,27,0,4.8,0
TKT-0317,2026-02-24,2026-W09,Playback,Buffering,Email,29,0,4.4,0
TKT-0318,2026-01-14,2026-W03,Playback,Buffering,Phone,36,0,3.7,0
TKT-0319,2026-01-27,2026-W05,Billing,Payment failed,Chat,34,1,4.2,0
TKT-0320,2026-03-10,2026-W11,Playback,Audio and subtitles,Chat,32,1,4.7,0
TKT-0321,2026-02-09,2026-W07,Account,Sign-in,Chat,9,1,4.6,0
TKT-0322,2026-03-29,2026-W13,Billing,Payment failed,Chat,32,1,4.5,0
